Year,ID,Application_Code,Impact_Code,Comments
2011,447,US,,Really cannot tell
2011,427,US,PG,
2011,424,US,KE,
2011,408,SG,PH,
2011,400,US,LK,
2011,392,PH,PH,
2012,110,US,NG,
2012,159,US,IN,
2012,192,US,AF,
2012,202,US,IN,
2012,231,US,NG,
2012,269,US,GH,
2012,345,US,NP,
2013,511,US,IN,
2013,482,US,KE,
2013,476,US,VN,
2013,403,US,RW,
2013,349,US,PG,
2013,264,US,NP,
2014,289,US,UG,
2014,168,US,RW,
2014,167,US,RW,
2014,166,US,RW,
2014,429,US,GH,
2014,485,US,KE,
2014,468,US,NP,
2014,444,US,KE,
2014,416,US,KH,
2014,392,US,NG,
2014,293,US,JO,Duplicate of 292
2014,292,US,JO,Duplicate of 293
2014,281,US,SO,
2014,251,US,KE,
2014,249,US,NP,Duplicate of 248
2014,248,US,NP,Duplicate of 249
2014,169,US,ET,
2015,361,US,UG,
2015,359,US,MM,
2015,333,US,FJ,
2015,301,US,UG,
2015,296,US,KE,
2015,275,US,IN,
2015,119,US,,Delete this as impact is in US
2015,67,US,NG,
2013,397,UK,AF,
2012,197,AU,UG,
2013,485,AU,KE,
2013,412,AU,NE,
2014,294,AU,NE,
2014,233,AU,KH,
2014,197,AU,PG,
2014,196,AU,PG,
2015,271,AU,IN,
2015,243,AU,SB,
2015,222,AU,KH,
2012,337,CA,NE,
2012,311,CA,IN,
2013,521,CA,GH,
2015,310,CA,VN,
2013,58,FI,NG,
2012,84,IL,ET,
2013,109,IL,PS,
2013,53,IL,PS,
2014,152,IL,PS,
2014,110,IL,PS,
2014,73,IL,PS,
2014,92,IL,PS,
2014,50,IL,PS,
2014,48,IL,PS,
2014,391,IT,SN,
2012,106,KR,NP,
2012,275,KR,ID,
2012,281,KR,ID,
2012,312,KR,GH,
2012,315,KR,GH,
2013,474,NL,NE,
2015,376,NL,PK,
2015,366,AU,MG,
2013,365,NZ,ZW,
2014,324,NL,PK,
2012,109,NO,SO,
2013,271,NO,SO,
2013,199,NO,SO,
2013,538,PT,MZ,
2014,363,AU,FJ,
2013,490,SI,ZA,
2015,338,SE,GH,
