project_year,project_id,country_application,country_application_name,country_impact,country_impact_name,orig_country_application,orig_country_application_name,orig_country_impact,orig_country_impact_name,change_comment,project_name,institution,project_location_1,project_location_2,is_deleted,delete_comment,sectors,project_summary,project_details,project_details_other
2015,393,SG,Singapore,SG,Singapore,SG,Singapore,SG,Singapore,,EARN 5K,Transpiral,Singapore,Singapore,0,,['Entrepreneurship & Business'],"We want to double our impact in 2016, so in order to do that I need to build up resources through building a lean team and build out infrastructure to be able to better serve more students._x000D_
The three ares of investment_x000D_
1. Program Manager: I would like to allocate part of the funds ($5000) to bring on a program manager part time for 20 hours a month vs 10 hours a month. This person will not only manage the program and support our participants, but in addition free up my time to be able to develop more partnerships with instititions._x000D_
2. Platform: At the moment we have a basic platform for the program, I would like to_x000D_
Allocate $6000 to have a developer build a better robust program._x000D_
3. Content/Outreach Manager: In order to build the reputation of Earn 5K, I would like to allocate ($5000) to hire a part time writer to build out the content strategy._x000D_
4. Facebook Advertising: In order to build our prospect list, we would like to increase the amount we invest in Facebook advertising. We would like to allocate $8000 and we look at building our community by 4000 people._x000D_
","By December 2016 we aim to educate 280 millennial girls. It is expected that 190 girls will go on to doing their business full time._x000D_
As of current results, we have these statistics._x000D_
30% of our participants are generate 2000/month and are on track to earn 5k_x000D_
25% of our participants will generate from 3000-5000/month_x000D_
15% of our participants will generate more than 5000/month_x000D_
_x000D_
We are committed to continuing to improve the results","We are solving the problem of growing youth unemployment. Currently around the world, there is an average of 25% of unemployment. Of those around 40% are millennial.

Having lived in Spain, and seeing a generation of young people losing hope in their future. I don’t want to see millennial giving up because they are unable to find work and work towards their dreams.



Therefore by equipping them with how to build trust based marketing and sales, providing them with how-to, easy to copy template, and a space to get clarity, accountability and support to get their business off the ground. 



Not only builds their financial independence but builds their confidence. This has a high correlation with less crime in communities because young people are not left idle.EW"
2015,392,KE,Kenya,KE,Kenya,KE,Kenya,KE,Kenya,,Smokeless Homes Initiative,Ecofinder Kenya,Kenya,Kenya,0,,"['Education', 'Environment & Sustainability', 'Health', 'Entrepreneurship & Business']","Our project will intend to achieve the following;Goals/Objectives_x000D_
1.	To establish sustainable energy enterprises run by local women groups in order to enable rural households’ access clean energy products for their basic needs._x000D_
2.	To undertake capacity building trainings on entrepreneurship development skills._x000D_
_x000D_
METHODOLOGY_x000D_
Establishment of Village Solar charging stations_x000D_
We shall set up solar charging stations to be run by local women groups. The stations provide solar lamps and phone charging services. The women undertake this as a group enterprise on a rent-to-own model by renting out the lamps daily at a cost lower than kerosene. After 4 to 6 months, the individual households   own a solar lamp and an improved  cook stove. _x000D_
We mainly deal with the award winning Green Light planet products- sun king lamps and also partner with The Energy Resource Institute (TERI) under the Lighting a Billion lives programme for supply of the fixed charging station model. These are LED solar lamps that charge for a duration of six hours and are also able to charge even during cloudy days. They all have a two years warranty_x000D_
_x000D_
Capacity building trainings on entrepreneurship and leadership skills_x000D_
The main objective is to provide the women with entrepreneurial skills that will ensure sound management of the Green Energy enterprises such as the solar charging station. The trainings are facilitated in collaboration with professional trainers from institutions such as Kenya Institute of Management (KIM), Ministry of Industrialization and Economic Projects Trust Fund (EPTF). The training strategy adopts a participatory approach as well as videos and site visits to existing businesses run by women in the region._x000D_
To identify the problems and undertaking a needs assessment, we have been able to organize focused group discussions with various women groups hence the selection of the proposed training areas including;_x000D_
- Entrepreneurship (Basic concepts)_x000D_
- Business Communication skills & fundamentals of customer service_x000D_
- Financial Literacy (Accounting for small enterprises)_x000D_
- Marketing Skills_x000D_
- Group Savings and Loaning_x000D_
Community Sensitization_x000D_
_x000D_
We will also undertake community outreaches to create awareness on the importance of using clean energy and the negative effects of traditional energy sources to them and to the environment. This is done through giving talks, drama and puppetry at community groups, markets, schools, beaches among and other social avenues._x000D_
","By the end of January 2016, we aim to have enabled 300 households become smokeless by owning a solar lamp and an improved cook stove through a rent to own model. About 1800 people including the youth, children and men will benefit from these clean energy sources indirectly. It is then expected that 250 new smokeless homes will always be created after every 6months from the repayments made to the solar charging stations, hence more people benefiting indirectly through education, reduced respiratory illnesses, reduced risk to open fire accident in the households among others.","In Kenya, 82 % of the total population is still not connected to modern electricity, with the majority being in the rural and peri urban areas. These populations also earn less than $3 per day and spend up to 50% of this income on energy for basic household lighting and cooking needs hence lack of enough disposable income. They use of traditional energy sources such as firewood, charcoal and kerosene emits toxic pollutants, which causes respiratory illnesses leading to premature deaths especially among women and children. Every year 2 million people globally die out of indoor air pollution. 44% of them are children and 60% of adults are women. Moreover, women and girls in the rural areas make an average of 2 to 3 trips per day in search for fuel wood hence lack of enough time for productivity, fire accidents at households’ level as a result of using open fires and the school going children are also disadvantaged from studying during the extra curricula hours in the evening.EW"
2015,391,TH,Thailand,TH,Thailand,TH,Thailand,TH,Thailand,,Connecting Women Leading the Change,Wedu (Thailand) Foundation,Thailand,Thailand,0,,"['Education', 'Science & Technology', 'Entrepreneurship & Business']","Thanks to Project Inspire we will be able to create an app to deliver our empowering mentoring program even to girls and women in remote areas of least developed countries like Cambodia, Myanmar, Bangladesh, Nepal and beyond. We have learned how to run an online mentoring program based on desktop/laptop technology. We are ready to scale our impact further in ore remote areas. _x000D_
An app will allow us to monitor more closely the impact of our mentoring and gather continuous data to improve the service delivered, further enhancing the long term social impact potential of this project._x000D_
_x000D_
The rate of adoption of advanced phones and the high demand for our services among girls in high school and university created the perfect conditions for high success.","By December 2015 we expect to have a design of the first version of the app.By April 2016 we expect to have a first draft of app with basic functionality. _x000D_
By September 2016 we expect to have rolled out the app to at least 600 test users._x000D_
By December 2016 we expect to be ready to deploy the fully functioning app to the whole Wedu community.","Young women in high school and university struggle to complete their studies and gain a better life afterward also due to the lack of access to information (i.e. source of funding, learning resources, internship opportunities etc) and lack of a network of supporters to help them in the moment of difficulty. This is particularly true for first generation students and those coming from rural areas.

Wedu provides access to critical financing to complete studies and information on how to address the most common challenges of students. We deliver an online leadership training focused on soft skills critical to increase employability.



Most importantly, we are creating a network of women, called Rising Stars, and mentors, both men and women, from all over the world that support  Rising Stars sharing experiences and other resources. So far none of the girls in our program has ever dropped out of school. This remarkable achievement is the result of quality of the community we are nurturing.1K"
2015,390,SG,Singapore,SG,Singapore,SG,Singapore,SG,Singapore,,Code4GUIZHOU,TechSociety Private Limited,Singapore,Singapore,0,,"['Education', 'Science & Technology', 'Entrepreneurship & Business']","Code4GUIZHOU will empower 5 villages in Guizhou to host and create educational materials on local servers built by local secondary students. Matched with a mentor (a local University student) and connected to this network of helpful peers, 150 left-behind children in Guizhou will gain practical entrepreneurship and ICT skills that can empower their learning in Math and English. They will also be equipped with soft skills and training to create culture-sensitive curriculum for their juniors. This will be done via 10D long summer-and-winter bootcamp programmes that are coordinated with a blended learning pedagogy in which interaction for the rest of the year will be web-based. Effectively, these 5 villages will be adopted and Code4GUIZHOU will build trust, social capital and community assets so that lasting change is created through returning engagements._x000D_
By putting girls into SWAT teams for change, market opportunities will be identified and rapidly tested. At the end of our pilot, the associated students and villagers would have launched a crowdfunding campaign to provide ongoing capacity-building support and garnered seed capital for local enterprises. At the end of 3 years, it is hoped that at least 1 viable and economically self-sufficient market opportunity has been unleashed and operating smoothly in each of these villages to create employment opportunities for locals._x000D_
_x000D_
Alongside training such left-behind children, consultations and check-ins will also be implemented with village elders, parents and teachers to build an ecosystem of support for these children. This serves to align stakeholders’ interests.  _x000D_
_x000D_
Our tech education programme therefore aims to create self-starters, auto-didacts who knows how to show up, take action and make plans, supported by a network of local and overseas contacts that acts as their bridge to bigger dreams. Through our team-based, gamified pedagogy, we want to build confidence and impart practical skills for these girls to eventually take learning and community organizing into their own hands. Not everyone needs a college degree. But poverty often comes with its own set of self-limiting beliefs and ways of thinking about the world that makes it hard for these girls to find their own paths, we believe that cross-functional modules in communication, problem-solving, leadership, design and programming will prepare these girls for success._x000D_
_x000D_
Code4GUIZHOU invites girls to think of their life as a canvas; given their limited resources and extended reach made possible by technology – what opportunities would they pursue? How would they turn every engagement/connection into a minimal experiment? We believe that our personal experiences as high school dropouts turned college graduate turned tech entrepreneur allow us to be more empathetic and engaging with our approach.","By July 2015 we aim to educate 150 girls with our training program. We expect a third of them to go on to pursue further education or be engaged in employment or entrepreneurship eventually.By December 2016, these girls would have launched a crowdfunding campaign to fundraise for ongoing training support (for the next 2 years) and seed capital for local enterprises. They would have also marketed their villages online, increasing tourist flow by 200%, attracting a viewership of 50,000 unique views+follows on WeChat, Sina Weibo and their web portal._x000D_
At the end of 3 years, at least 1 viable and economically self-sufficient market opportunity has been unleashed and operating smoothly in each of these villages to create employment opportunities for locals, bringing 50 parents back in total.","With a PPP per capita of $7,292, educational attainment suffers from the lack of access to key resources, good teachers and context-sensitive material; access to computers and the internet goes without saying. Many girls find themselves quitting school in order to start generating income for the family, which plunges them further in the poverty cycle since they have limited capacity to obtain marketable skills.

Then there are the associated psychological stresses that come from being left behind and being poor in general. The social isolation and sense of shame that comes from being poor often leaves these children lacking in confidence and “showing up” for networking and exposure, and this absence of social capital and experience puts them at a severe disadvantage when they eventually come out to work. In summary the challenge is to provide locally meaningful education – education that opens the door to employment and other assorted technologies.1W"
2015,389,PK,Pakistan,PK,Pakistan,PK,Pakistan,PK,Pakistan,,Women Green Entrepreneurships ,Save the Environment (SE),Pakistan,Pakistan,0,,['Environment & Sustainability'],"The project “women green entrepreneurships” is proposed to setup and sustain the women environmental enterprises in Miandam valley district Swat, Pakistan. The project will be implemented in 10th months with the technical assistance of “Save the Environment, Pakistan”. 11 villages of Miandam valley is consist of 425 households with estimated 3400 population (women: 1800) will be the target households to benefit from this project. In this project, 90 households will directly participate as beneficiaries and outreach activists for women economic empowerment. _x000D_
Miandam valley is a hotspot of natural resources and almost 70% (of 425 households) people are dependent on wild plants including medicinal, aromatic, sheltering and agricultural plants, for their livelihood generation. The wild plants include herbs, shrubs and few species of trees. The habitat of these plants exists in the natural plain areas, hilly and sloppy terrains and the narrow gullies in the hillocks. According to the local farmers and women; the wild plants are used in abundance to produce natural medicines for the health remedies, fragrance and antiseptic. The elders, women and hakims are the expert groups on plants collection, habitat’ identification, processing and products marketability. They also carry extraordinary indigenous knowledge about the valuable plants and earn good incomes through recommending for natural health medication. _x000D_
_x000D_
Out of 70% people, 80%-85% are the women who are directly or indirectly involve in generating daily incomes. According to the assessment of Project team, 25%-30% women are running environmental enterprises; they collect wild plants and sell in local community and market with poor prices which could not fulfill the daily basic needs of the family. Project team has confirmed that majority of the women are the conflict affectees and lost their bread earners and subject to food insecurities. Because of the women poor skills of collection, they are blamed for so many reasons, tortured and prohibited from collecting the wild plants and wildlife species. They have poor skills of processing, labeling, marketing and channelizing markets. Their daily earning is recorded as 3-5 USD. _x000D_
_x000D_
All these women environmental enterprises are subject to vulnerabilities because the vegetation of medicinal and aromatic plants has been significantly declined. It is due to the fact that the wild plants are uprooted improperly during the collection. Women are not aware on certain significant plants-livelihoods generating value chains and their improper practices negatively affect the natural base. _x000D_
This project is planned to develop 14 women green enterprises and sustain the livelihoods generation from the natural resources. 14 enterprises from 425 houses will be chosen with the consensus of households and farming elders. They will be trained in green entrepreneurship concepts of collection, processing and marketability. They will have all information on wild plants, value chains and market channels. They will be enabled to develop home based nurseries of such plants to regularly obtain raw materials for producing products. They will be connected through an enterprises network which will exchange information and fix product values and facilitate new enterprises development for women sustainable income generation. _x000D_
_x000D_
Main Activities:_x000D_
1. Survey and Identification of vulnerable Enterprises:_x000D_
- Mapping out villages in Miandam and coordination with community/stakeholders_x000D_
- Conducting reconnaissance survey on “natural resources based livelihood generation and documenting indigenous knowledge about the key plants”_x000D_
- Conducting Value Chain analysis of the plants used in enterprises_x000D_
- Conducting Market Channel Analysis for the enterprises_x000D_
-  Identification of 12-14 women environmental enterprises in Miandam and peripheries  _x000D_
_x000D_
_x000D_
2. Training on Enterprises Development:_x000D_
- Delivering training on following topics within the national standards of enterprises and technical skills policy. These trainings will be delivered with interval of month in each. In processing, labeling and nurseries formation, the local technology will be used by trainers to train the women with best way._x000D_
 _x000D_
Training-I:_x000D_
Title: Women Enterprise Development and Environment_x000D_
Duration: Two Days_x000D_
Participants: 12 women running enterprises_x000D_
_x000D_
Training-II:_x000D_
Title: Raw Materials Process and Technology_x000D_
Duration: Two Days_x000D_
Participants: 12 women running enterprises_x000D_
_x000D_
Training-III:_x000D_
Title: Enterprises Marketability_x000D_
Duration: Two Days_x000D_
Participants: 12 women running enterprises_x000D_
_x000D_
3. Saplings and Nurseries Demonstration for Sustainable Plants Availability:_x000D_
-  Provision of 50 valuable plant saplings to each enterprise for raising nurseries inside the house/land. The saplings will be purchased from the government agriculture or environment departments. SE will have quality assurance to check the specie type and habitat suitability prior to purchase of the plants saplings._x000D_
- Delivering practical demonstration on five pilot nurseries development inside home and at agriculture field for maximum production of the raw materials/plants. In this demonstration, one day practical and two days demonstration will be delivered to them. The nursery tool kits will be distributed in them. Two nurseries in agriculture fields (those who have land) and three inside houses will be prepared and sapling will be cropped within the presence of the women entrepreneurs.  _x000D_
_x000D_
4. Enterprises Networking and Learning for sustainability:_x000D_
- Setting up networking among enterprises, Hakims, local market shops and National Environmental protection agency. This will increase the marketability for better prices of the products._x000D_
- Development and publishing of 500 Medicinal and Aromatic plants booklet with indigenous knowledge_x000D_
- National Exhibition on the natural products developed by the selected enterprises and invitation to all stakeholders for creating awareness and market for the increased income generation_x000D_
_x000D_
5. Project Exist Strategy and Structuring:_x000D_
- Regular follow up with the enterprises on their daily collection and processing, and providing mentoring on green processing and products development_x000D_
- Final Reporting and closing the project with a project exit strategy _x000D_
- SE one year facilitation and learning support for the sustainable running of the existing enterprises_x000D_
_x000D_
- Project Management:_x000D_
The project overall operations will be controlled by the Miandam office with the direct support of Head office, Peshawar. The Project team will be based in the local office of Miandam. They will coordinate with project stakeholders, community as well as government offices for any support needed in during project. Project Lead/PL will be focal point for this project and will implement this project as per the guidelines of SE office. SE office will facilitate weekly meetings with project team and will coordinate all matters with Project Inspire. PL will monitor all the project activities and will hold project oversight meeting on the project gaps and issues on weekly to bi-weekly basis. _x000D_
_x000D_
Technical Trainer/TT will be an enterprise development specialist belong to local community, project team member, will be based in local office and will development trainings materials, conduct survey, enlistment of the enterprises, and regular mentoring to the women enterprises. She will be in close coordination with SE technical team to mutually respond to any training issues and gaps. _x000D_
_x000D_
The Market Liaison/ML will be local person who has information on enterprises, nurseries development and knowledge of valuable plants as well as value chains. He will be based in local office to work on marketing, value chains, nurseries and practical engagement of enterprises with provincial traders.  _x000D_
_x000D_
Finance Assistant/FA will be based in the local office and will deal all project finances and reporting to the PL. FA if needed will report to Project Inspire and SE on all the project expenses. _x000D_
_x000D_
Project Monitoring and Evaluation: SE Direct Contribution to Project_x000D_
 SE has setup an M&E system and procedures for conducting results based monitoring and evaluation of projects. This system is representing the M&E information through MIS system and it also allows capacity building opportunities in the project controlling. This system is comprised on technical staff, filing system, MIS software, Capacity building plan and standard formats for data collection._x000D_
_x000D_
SE M&E staff will deliver one day orientation to PL on conducting project regular monitoring and periodic evaluations. PL will develop an M&E plan with the SE M&E department and will specify the results indicators, data collection mode and reporting to Project Inspire. PL will regularly monitor the project activities on the ground. The M&E will be conducted both for process and progress measures. During the process, access to beneficiaries, type of beneficiaries, cultural sensitivities role and its consideration for project success, timeline for all activities, risks and planning for preventing the hurdles in the way of in time completion of project will be monitored. _x000D_
_x000D_
The overall role and responsibility of the M&E is to provide tight check on the following key areas:_x000D_
-	Monitor progress toward the project objectives;_x000D_
-	Monitor implementation of activity with timely manner _x000D_
-	Perform periodic monitoring and evaluation and report on the adequacy of internal controls as a contribution to the proper, economic and effective use of resources_x000D_
-	Learn from successes and obstacles and apply implementation tactics to ensure program success_x000D_
","By the end of project, Project team will enable the sustainable existence and running of 14 women green enterprises, which will generate incomes to make the women self-sufficient and supportive the family expenses. The enterprises will have alternative sources of raw materials and will have technical skills to develop nurseries and utilize acquiring skills to regularize the production and marketing of the products. Five nurturing nurseries will be available and will be a pilot initiative to motivate other enterprises for its replication. All the women will use the wild plants and indigenous knowledge booklet, they will well-aware on plants values chains and channels of different markets to produce better product and sell it with best prices. 14 women enterprises will use local technology to process and label the products and market it in national and international markets. Enterprises network will setup and will create awareness, fix prices and facilitate new enterprises development.","In Miandam valley almost 80-85% women use wild plants including medicinal, aromatic, sheltering and agricultural plants, as raw materials for their livelihood generation. They produce from it natural medicines, fragrance and as an antiseptic. 25%-30% women are running environmental enterprises; they collect wild plants and sell in local community with poor prices which could not fulfill their family needs. Majority of the women are conflict affectees, lost their bread earners, and subject to food insecurities. Because of the women poor skills of collection, they are blamed, tortured and prohibited from collecting the wild plants. They have poor skills of processing, labeling and marketing which reducing daily earning into 3-5 USD. The women poor entrepreneurship skills and improper collection, processing and marketing turn the vulnerable the existence and livelihood generation from enterprises. It results in women poor support for family, children education & increased social violence.hP"
2015,388,MN,Mongolia,MN,Mongolia,MN,Mongolia,MN,Mongolia,,Zaisan Hill,'MONU' art association,Mongolia,Mongolia,0,,[''],"Mosaics at Zaisan Hill stairsUpcoming year (2016) we put our goal to make some renewing works at “Zaisan hill”. Zaisan hill is one of the people’s main attraction places to spend their free time with family and friends. Also many tourist come here to see city scenery from the top of the hill. Our Target of the work in 2016 is to decorate with mosaics 300 m lenght Zaisan hill's 612 stairs all together.  Zaisan Hill is located in the southern side of Ulaanbaatar city. And this hill is one the main attractions of the city. To work on this project except three of us we will need 10 more people as a team. Also  we are planning to give some lessons and teach people to be able to do hand made stuff and spread them on the market. As long as we find new ideas and make them to become real things we will help other people to work with us and make some money which is win=win situation!_x000D_
","We are planning to get results by late of May, 2016. Three of us will work with more 10 young women and girls as a team on Zaisan Hill project. Our project will continue for about 5 months and ot will be devided in two parts._x000D_
First part will take about 3-4 months which is planning and preparation work. Second part is that in about 1 month we do our field work. And not only that, during our indoor 3-4 months of preparation we are planning to educate about 30 girls on monumental art, mosaics and interior/exterior design. The classes will be 2 times for 45 days per 15 students. And we believe that at least 10 from our students will work in this field, open their own small business our will work with us. And we hope that at least 5 of them will become professional in monumental art and can become trainers as well. ","We are not only making city view better, but also  give 10 more people work which makes them happy to get salary and able to be helpful to their families. 1F"
2015,387,KE,Kenya,KE,Kenya,KE,Kenya,KE,Kenya,,SAY IT ALOUD,VISIONARIES ALOUD ENTERPRISES,Kenya,Kenya,0,,['Entrepreneurship & Business'],"'Say It Aloud' is a program activity that Visionaries Aloud wants to implement and are currently finding ways to facilitate and fund. The proposed program activity will involve 3 media tools, radio, social media and video. How? Culturally, women are to be seen and not heard and such circumstances are rooted deep within our institutions and systems especially in Africa and Asia. The traditional ‘baraza’ where only men were involved on the negotiation table when it came to discussing community issues is still very prevalent in our societies today. Is the woman ready to speak? Honestly, she is not really even asking to be heard. To be honest, she is afraid. She is afraid to speak up and be called a rebel. She is afraid to stand out. She is afraid to embarrass her husband or family. In fact, she does not even think she has the potential or power to bring about change, when in reality- she absolutely does. This mind set must change!We have to start speaking to our daughters. We have to encourage them to use their voices, and use them wisely. Young women need to notice the issues in their community and spear head coming up with creative solutions. How? We encourage young women and women in general to use media tools and communicate._x000D_
Most people are unaware that majority of farmers in Africa are women. Also research shows that if you invest in a woman she will invest in her community.  When access to water is a gender issue because it will be the mother and her daughter walking for hours to fetch water for the household: It will be the daughter who will be asked to quit school to be able to support her sibling who is male, She could be married off to pay debt as well.  With all these realistic situations- when it comes to solvable solutions, the woman’s voice is barely heard in the negotiation table. _x000D_
Most people lack information or access to adequate information. Issues discussed on radio/video/ social media will revolve around conflict resolution techniques- actual community techniques to deal with pressing issues within the community. Young girls in these areas struggle to communicate with elders on matters from discussing affordability of sanitary pads, or creative alternative solutions, domestic violence, unemployment challenges, inaccessibility to education etc.  By practicing and encouraging verbal communication skills, learning conflict resolution techniques and group leadership skills the girls will have the opportunity to make changes in their lives and the lives of their community. Not only communicate- but this will also be accessible information for others to replicate or custom to their community through new applications such as whatsapp._x000D_
Media training- We encourage young women to utilize the camera.  We will train and improve their writing skills through advocacy and writing training to improve their social media skills through blogging and marketing of their blog. Their editing and photography skills to communicate and expand upon those ideas discussed more briefly on the radio program ensuring issues addressed, techniques to facilitate dialogue between community elders, leaders and the youth are necessary._x000D_
",By February 2016 we aim to train 300 girls with our media training program. It is expected that 100 will have sustainable access to information and opportunities that can be utilized to start a small business or pursue further specialized education ,"Self - esteem Unemployment

AT"
2015,386,LK,Sri Lanka,LK,Sri Lanka,LK,Sri Lanka,LK,Sri Lanka,,SHOW you care,Lanka Unites,Sri Lanka,Sri Lanka,0,,['Education'],"SHOW You Care is a campaign that aims to mobilize youth to take concerted action raising awareness on the issue of harassment of women in public places and to bring attention of the public to the existing laws and the legal measures relevant to harassment. Engaging serious thought at the policy making level so that the existing laws are implemented and that the policies are reshaped and strengthened._x000D_
Sri Lanka Unites started the first stage of this project in the year 2012. A week of campaigning under the name of ‘SHOW You Care’ (SHOW=Stop Harassment of Women). Over 200 volunteers boarded 1,248 buses within the course of 5 days, in all the main bus routes in Colombo addressing over 35,000 commuters with our message. Now its an islandwide campaign which involved over 2000 volunteers and over 300,000 commuters._x000D_
We informed the public about the law regarding sexual harassment, the recourse available to victims and encouraged civil action against harassers by standing up to them and by not turning the other way._x000D_
We hope to carry out the same initiative once again. This phase of ‘SHOW You Care’ will involve development of a mobile app that would be able made accessible for victims to indicate where they are being harassed (Location) so that the hotspots are identified to influence the decision makers to stand up against harassment of women. We also hope to create a stronger media attention and look to reach the Law enforcement and other government authorities with our message_x000D_
","•	To inspire young men to lead the change while creating a resistance within their minds as to why harassment of women is morally wrong•	To create accountability for the bus drivers  and conductors not to have a blind eye_x000D_
•	Using a new mobile app and social media on when and where and the bus in which harassment takes place and this information will be shared with the police and transport authority to make awareness and influence authorities to take stronger action by implementing the law.Also being alert on the hotspots with the guidance of the mobile app. _x000D_
•	Create  awareness among women about the law and how they can stand up and be empowered knowing that there's justice on the law._x000D_
•	Getting more men's support to stand with the women for the cause._x000D_
•	Running a strong social media campaign to bring this crime to an end.  _x000D_
This island wide campaign will be scheduled from December 2015 onwards for 1 whole year with the target of reaching over 500,000 commuters with 25 workshops","What we hope to achieve

•	To create awareness among men and women about this pressing issue and encouraging men to stand up against harassment of women in public places, especially when using public transport. 



•	To create an opportunity to men and women of various ethnic and religious groups work together against a common threat in society 



•	To promote respect and equality in society 



•	To promote innovation to influence the policy makers that this is a serious issue in society and to change the way policy makers think.











N1"
2015,385,GH,Ghana,GH,Ghana,GH,Ghana,GH,Ghana,,Promoting Maternal Health and Contraceptive Usage among Young People in the Northern Ghana,Global Media Foundation,Ghana,Ghana,0,,['Health'],"•	Increasing young people’s access to appropriate health information•	Increase young people’s access to and use of health services_x000D_
•	Enhancing social, legal and cultural environment for the improvement of young people’s health_x000D_
•	Improve young people’s participation in the implementation of services to generate demand and increase utilization_x000D_
•	Improving the management of programmes for young people including resources mobilization_x000D_
","20 community Based Volunteers trained to conduct household education and Counsel on ASRH in general, family planning matters and the importance of accessing services and referring adolescents and young people to facilities based by reaching 400 young people every month 30 September 2016.15 Journalists trained and their knowledge enhanced on maternal health and contraceptive usage, and will use their various media platform to educate young people to access  contraceptive  services to  prevent teenage pregnancy by 30 September, 2016_x000D_
8,600 young people aged 10 and 24 both in and out-school knowledge enhanced on sexual and reproductive health and rights as well as modern contraceptive methods by 30th September, 2016 through in and out-of-school sensitization_x000D_
2,600 young people using of modern family planning methods by 30 September, 2016_x000D_
15 teachers trained as guide/counselors by 30th November, 2015 and they will  to take up the role of guide/counseling and communicate messages, related t","In 2007 Ghana conducted a national maternal health survey: the Ghana Maternal Health Survey (GMHS). The results show that maternal mortality is still unacceptably high and is the second largest cause of female death. The main direct causes of maternal mortality are pregnancy-related complications, most of which occur on the day of birth or shortly afterwards, with bleeding, infections and unsafe abortions being the main indirect causes.  In a report by the Ministry of Health, 16,182 girls and young women had an abortion in 2011 against 10,785 in 2010 and 8,717 in 2009. Unsafe abortion accounts for 15 per cent of maternal deaths in Ghana, and also accounted for 25 to 30 per cent of maternal deaths in leading teaching hospitals in the country. It is impeding the country’s efforts at achieving Millennium Development Goal (MDG) 5 which is primarily aimed at reducing maternal mortality by 75 per cent by 2015. Again, according to Ghana Health Service (GHS, 2012) 750,000 teenagers get pregnIW"
2015,384,UG,Uganda,UG,Uganda,UG,Uganda,UG,Uganda,,"Lake-based fish cage farming, an alternative livelihood source for young women living in Uganda’s fishing communities",One Life foundation Uganda,Uganda,Uganda,0,,"['Education', 'Science & Technology', 'Entrepreneurship & Business']","Funding from Project Inspire will be used to create employment for out of school young women aged 18 to 24  living in fishing villages in Eastern Uganda  through skills building on lake based fish farming technology.  The communities at the lakes are mainly dominated by youth who depend on fishing for their income and food security.  It is uncommon to find women in these communities at sea fishing due to the laborious nature of the work involved and the associated risks. Therefore most women resort to hiring men to go out to sea to catch fish for sell on their behalf while others engage in micro businesses like fish mongering,  smoking and frying. Moreover, the number of unemployed women in fishing communities is alarmingly high because they are characterised  by; low levels of education where a few of them complete primary school and fewer transition to secondary school , teenage pregnancy, lack of skills, remoteness, marginalisation from government development initiatives and lack of infrastructure.100 young women living along the shores of Lake Victoria and the nearby islands in Jinja district will be trained on how they can use lake based cages to successfully rear fish for income generation.  The training will equip the women on setting up of fish cages, hatching fish, feeding them, treating them, making fish feeds and joint marketing to achieve economies of scale in the fishing business. The project will set up 10 demonstration cages which will be used by the women to practice fish cage rearing for one cycle, which takes 8 to 12 months for the fish to mature for sale. After every cycle, a new batch of young women will be recruited for training and supported to practice lake based fish cage farming using the same demonstration cages while those who will have been weaned off will be ready to create their own fish cages, hence creating a multiplier effect._x000D_
Water bodies in Uganda are plagued with destructive fishing methods, over fishing, and environmental degradation which threatens marine life and consequently has forced the government of Uganda to put stringent restrictions to fishing activities in water bodies._x000D_
Lake based cages as a technology requires less labour, takes less money and the technology is easily replicable. The technology also enables one to rear comparatively more fish and the quality of the yields is better because the fresh water of the lake is a natural habitat for the fish, providing good quality abundant water. An example of what Ugandan shillings 5 million (about USD 1500) can do compared to putting the same amount in ponds or tanks;_x000D_
You can raise a cage of 1,025 cubic metres, which will accommodate atleast 5,000 fish, yielding 105,050 kilos. Using the same Shs5m for a pond, it will give you a pond of 600 cubic metres, which will hold about 1,800 fish. If you devote the Shs 5m to tanks, it will give you three tanks of the type that can hold 900 fish each, giving you a total of 2,700 fish. _x000D_
","By December 2016, 100 young women aged 18 to 25 years living in fishing communities in Jinja district; Uganda will be skilled in lake based fish cage farming. It is expected that after a 12 months cycle of practicing fish cage farming in the demonstration cages, they will be well equipped  to set up lake cages for fish farming cages.",the project will address the problem of unemployment for out of school young women aged 18 to 24  living in fishing villages in Eastern Uganda  through skills building on lake based fish farming technology.  1•
