Email,Application Country,Impact Country
6,Australia,Australia
8,Bhutan,Bhutan
1,Congo,Congo
2,Ethiopia,Ethiopia
12,Ghana,Ghana
9,India,India
14,Japan,Philippine
10,Jordan,Syria
25,Kenya,Kenya
26,Nepal,Nepal
27,Nigeria,Nigeria
29,Nigeria,Nigeria
16,Philippine,Philippine
18,Philippine,Philippine
21,Philippine,Philippine
22,Philippine,Philippine
19,Singapore,Indonesia
31,Singapore,Indonesia
13,South Africa,South Africa
3,Switzerland ,Uganda
5,United States,Thailand
7,United States,Nepal
20,United States,Philippine
30,United States,Kenya
28,United States,Nigeria
